index,parallax,parallax_error,phot_g_mean_mag
705095,5.868500286869298,0.015086903,10.425828
705841,5.677484713118972,0.1247867,4.9542418
708305,5.435214782606861,0.02625434,13.3881855
708310,5.40601045949222,0.026115308,13.581964
708803,6.056729856114862,0.08479385,17.19307
709586,5.993800276506982,0.21036868,18.645117
709809,5.746701160618581,0.015314413,9.945773
711187,6.035800654435006,0.062435936,16.488422
711408,5.970447011948663,0.054330703,16.313036
713585,5.592265786400813,0.020435404,12.218696
714684,5.877869153510963,0.08204995,16.862469
717870,6.057171677822922,0.07774314,17.042776
718284,5.643529859386241,0.038671836,15.675555
719030,6.187139325369193,0.108879305,17.40427
720748,5.664185383596616,0.11660348,17.528337
721702,5.680764336918963,0.060152505,16.225641
722327,5.695560364960738,0.031861182,14.962173
722747,5.590147449640464,0.01532402,11.759997
722837,5.646572689681896,0.017682625,13.652839
723165,5.855670087619245,0.2954103,18.384668
724447,5.994751392154448,0.15198454,17.721344
725415,5.368193274052728,0.08016921,16.725397
725502,6.118217366358953,0.061657563,9.109321
726636,5.495440546004389,0.40593225,19.608612
728965,5.894104192652834,0.06629131,16.62928
729582,5.568460874643535,0.021933584,11.9899235
730132,5.784207319686574,0.021871924,11.427623
733732,5.860235032566175,0.11263133,17.44789
736683,5.615069229045593,0.24877158,18.902401
739279,5.479954975430897,0.2668492,18.80334
739315,5.3029363156178615,0.12195804,16.901001
740764,5.84520800837664,0.0135828545,12.567945
743876,6.170358865315904,0.26214233,19.007973
744064,5.885910434571099,0.26753277,18.924843
744904,5.71376872328763,0.065958045,14.134523
745127,5.623788212844001,0.029927822,14.61112
745128,5.668693065362467,0.059505824,16.324642
745382,5.984922876830004,0.041127335,15.632759
745533,5.968445126096914,0.06152455,14.556968
745650,5.812386790011833,0.044097967,15.87603
746464,5.811888201370394,0.091276415,17.29046
748479,5.698608585303135,0.033191033,7.8719835
749086,5.5861560411127655,0.045542076,15.834481
752124,5.532798668777326,0.037932966,15.659975
753480,5.858097635692837,0.13904369,17.969873
755976,6.185193147811033,0.40732887,19.734627
757740,6.095926170707696,0.044435535,6.068375
760452,5.787156431068029,0.06995415,7.858462
760732,5.8370092248666126,0.2321086,18.658373
760956,5.743135726342043,0.02186043,11.409828
764012,5.578567336159399,0.29873332,19.25373
764148,5.928104797417769,0.15722221,17.964085
764431,5.894149106350809,0.12094791,17.800005
770325,5.856347735113664,0.034958158,7.6172724
775081,5.634362691158928,0.15586187,18.186419
778455,5.634134808801449,0.026736125,8.14991
779088,5.684302559823747,0.023253633,8.405918
780202,5.913797775105562,0.08537526,17.039343
782737,5.61326605460455,0.07600522,16.962038
784758,5.7089301856833226,0.021934383,11.15448
793139,5.713107014856744,0.037151672,12.740346
793628,5.815752674352874,0.052219365,16.306187
794532,5.653721906829063,0.0880766,17.241867
794586,5.608045364504027,0.021318668,10.155677
794706,5.935288097628515,0.039047424,9.095269
795439,5.7277949826800905,0.09209382,17.1955
799378,5.47910133707462,0.273248,18.858982
804098,6.227336466509359,0.2072418,18.658222
805382,5.777278339896697,0.08624311,17.083487
811123,5.8397484125198265,0.0376296,15.650331
815040,5.800426445531842,0.014276756,12.502744
815864,5.662177017970437,0.0133324275,12.652797
817031,5.568367834020551,0.025054744,14.762328
818572,5.30988311646798,0.020471485,14.537876
818846,5.7602705733229564,0.05741011,16.399576
819246,5.385838287840445,0.4246537,19.462893
819548,5.51755838308733,0.086571336,17.337563
819688,5.854573745485253,0.04842713,16.054457
820026,5.743126876895775,0.01604225,12.816582
820585,5.768756931618153,0.012094173,12.353194
823161,6.10968443735091,0.14760247,17.956133
823742,5.35378011305004,0.12842317,17.814554
824174,5.696595461722166,0.10073078,17.377468
824237,5.867255176906527,0.06594718,16.684082
825278,5.601062253700818,0.022168513,8.411223
825370,5.681126703564632,0.05074572,16.066536
826588,5.974065656707982,0.10773289,17.580841
829462,5.854589553630346,0.32351318,19.129747
833519,5.5385618571826765,0.053204168,16.371367
834322,6.096087566839301,0.3325324,19.021902
837556,5.703722037813304,0.048515566,16.072773
839724,6.02070658171956,0.11313657,17.85933
842310,5.76006360889363,0.014344156,12.582087
843870,5.752083663685645,0.11707326,17.540108
845310,5.78981577367445,0.030302733,15.359313
847503,5.890358488620496,0.021429304,14.418515
848290,5.321045586549687,0.28265852,19.108644
851699,5.541612672361814,0.05900426,16.698526
852922,5.669355516980437,0.044383604,16.140064
858645,5.747379593956,0.036444232,15.623406
858952,5.751435817480994,0.032148007,15.471647
860406,5.479461832241343,0.023809588,8.579758
861731,5.426576221763484,0.03626648,15.642842
861749,5.840574788245864,0.09203878,17.107578
862041,5.275115282621431,0.17669764,16.948502
862949,5.422942325199944,0.04154198,7.1732097
863111,5.001628282871741,0.020537913,11.269832
867711,5.820229257626386,0.016859574,9.122821
868642,5.295153434775369,0.12380846,18.035192
869168,5.713042053794154,0.1274894,17.873184
869567,5.707023911338103,0.021127054,8.73505
872173,5.737858822184703,0.082501866,16.689285
876813,5.8373442426051865,0.03594708,15.764667
882269,5.743788513197907,0.028174814,14.862582
885599,5.658348486791796,0.017216735,11.94834
891586,5.728326841742001,0.035744853,6.927946
893427,6.165167091460965,0.1220351,17.833424
893951,5.750531381651552,0.07025714,16.230644
895102,5.795205872371391,0.015763879,10.539244
895922,5.71231217828038,0.063421175,16.632917
897520,5.807283186674901,0.02221495,14.243975
901944,5.896328514654134,0.23732843,18.689514
902530,5.786016057652028,0.10386066,5.5509315
904571,5.973444663764096,0.108246125,17.454311
906979,5.988742618308248,0.03567971,15.399414
906980,6.045699017883511,0.05130691,16.205542
908716,5.656638995223353,0.15896598,18.225424
908838,5.555217610291494,0.044316843,8.101775
911741,5.546826880022987,0.05866983,16.43729
914272,5.8500766074008,0.10379153,17.411352
916520,5.426075054919547,0.041375797,14.979162
919315,5.7415013649175,0.014742953,11.9674635
919682,5.936503520952016,0.14848626,18.082798
919971,5.664024649226236,0.02679647,14.901358
921011,5.735759800890126,0.01836763,11.092926
924823,5.39914096837864,0.24628305,18.201607
924831,5.633868342249479,0.015823774,9.794472
926120,5.722814907041117,0.017400892,13.824242
931189,5.833356625657817,0.034823213,15.375821
934125,5.668533917833109,0.033038244,15.35869
934427,5.6074372671520765,0.25451225,16.914877
935647,5.901252669833509,0.078286715,17.035458
937980,5.808110465912508,0.5235359,19.87551
939100,6.184836384047821,0.036014564,7.2745633
939224,5.862302732800703,0.057115957,16.138174
940052,5.765340709952374,0.08922754,5.009382
941257,5.88186936886287,0.05715408,16.423388
944696,5.822252310206284,0.027130468,13.596615
944744,5.793926303111781,0.091907166,17.099892
944766,5.842535915063003,0.065964505,16.792246
948217,5.75782323392173,0.08259523,17.175909
949231,5.561225864103804,0.020133309,11.474267
949408,5.791336734903327,0.10732991,17.66185
949409,5.619414818095233,0.05179125,16.330843
950498,5.681716351227562,0.083614565,5.2972746
950583,6.414971190771207,0.47253013,18.396664
953422,5.519179188383537,0.040460818,8.923435
955764,5.860287812945968,0.06761024,16.611805
955976,5.524806784518671,0.15005971,17.92506
956032,5.546080075729636,0.047332853,15.7413845
957790,5.942814929044094,0.1302421,17.92159
957872,5.476602940795812,0.027449913,14.8636465
959047,5.579779163299459,0.013568512,13.028779
959382,5.759271295513034,0.26099905,18.962654
959586,5.3326499855956095,0.21674742,18.693295
959647,5.731743854302766,0.10380305,17.562807
959940,5.693913447349543,0.06519663,16.723953
960173,5.720706726550607,0.016537184,9.106703
960436,5.521462786054297,0.19933121,18.62656
960830,5.940370690258447,0.22222401,18.685205
962521,5.3456189896634845,0.077190176,17.156956
963045,5.658399343123894,0.08721967,17.01395
964576,5.636268445585939,0.4593541,19.711159
971398,5.871020774008471,0.046092913,14.905404
990519,5.832370642599527,0.036456946,15.267381
990585,5.887890858572628,0.09675918,17.153994
1020042,5.468518154791815,0.20975144,18.583935
1029525,5.43889481543811,0.04793839,15.954181
1040639,5.880570846855528,0.01646629,8.921372
1041993,5.743190519136233,0.013467852,13.257548
1043342,5.741946555691383,0.057138465,16.507042
1047757,5.759900329798131,0.051243447,15.182199
1047758,5.701309937575163,0.055023327,15.406865
1052511,5.74492106498193,0.19404069,18.487888
1052515,5.96949520293073,0.267386,17.522993
1056151,5.9550419978265134,0.05950707,16.286083
1058724,5.068065148288033,0.18959494,10.2764015
1060830,5.777689198855271,0.020172909,14.016416
1063922,5.933994988709081,0.025109418,11.334377
1076882,5.840591577454963,0.12113422,17.456219
1077014,5.694703815616509,0.04296622,15.732583
1077247,5.740115433546372,0.4326742,15.875373
1079175,5.973973930674785,0.0467347,15.880117
1082072,5.678327160982294,0.09570828,16.45423
1082395,5.80357553059687,0.07234555,11.702181
1084775,5.736122224802378,0.031129263,15.216316
1085220,5.70737782984438,0.026763972,14.792277
